,count(15)
年ニ復 (ふくし・カヘル) 不申懸とも候へ者先當時是迄之通飯,1
ニ復 (ふくし・カヘル) 不申懸とも候へ者先當時是迄之通飯物,1
頃日已来之長雨天ニ付河筋出水之模様為【一文字消去】見分御馬役,1
津田浦相送舟積仕候様被仰付○【「ニ付」見せ消ち】△其段立合之,1
田浦相送舟積仕候様被仰付○【「ニ付」見せ消ち】△其段立合之者,1
浦相送舟積仕候様被仰付○【「ニ付」見せ消ち】△其段立合之者共,1
相送舟積仕候様被仰付○【「ニ付」見せ消ち】△其段立合之者共へ,1
送舟積仕候様被仰付○【「ニ付」見せ消ち】△其段立合之者共へ被,1
不相成候間各ゟ崎【嶋＝誤記ヵ】々ニ而両三人呼懸篤と演舌相加へ,1
十一日与頭庄屋へ御申渡成候事故十一日御出勤迄ニ御写取之上御役,1
一日与頭庄屋へ御申渡成候事故十一日御出勤迄ニ御写取之上御役處,1
日与頭庄屋へ御申渡成候事故十一日御出勤迄ニ御写取之上御役處江,1
ニも行當り之程之義ニ而追々御手當等被下且場所ニ寄候而ハ御小家,1
猶以切手所持之者ニ而もゆへなく長ク足を留候者ハ御境目ニ追出シ,1
以切手所持之者ニ而もゆへなく長ク足を留候者ハ御境目ニ追出シ幷,1
