,count(39366)
【表紙,1
表紙】,1
嘉永二,3
永二年,1
天印　,1
印　　,1
　　　,428
　　赤,2
　赤ラ,1
赤ラベ,1
ラベル,1
諸御趣,1
御趣意,81
趣意書,17
意書幷,1
書幷御,1
幷御下,1
御下知,8
下知向,1
知向之,1
向之寫,1
酉八月,1
八月吉,1
月吉日,1
朱丸壱,1
丸壱　,1
壱　　,1
　　郷,2
　郷店,1
郷店賣,1
店賣物,1
賣物宝,1
物宝暦,1
宝暦年,2
暦年中,2
年中御,2
中御觸,2
御觸御,1
觸御免,1
御免之,2
免之品,1
之品書,1
品書事,1
朱丸弐,1
丸弐　,1
弐　　,4
　　関,1
　関東,1
関東北,3
東北國,1
北國筋,1
國筋凶,1
筋凶作,3
凶作ニ,2
作ニ付,3
ニ付米,2
付米直,2
米直段,2
直段高,1
段高直,1
高直ニ,6
直ニ付,2
ニ付御,22
付御年,1
御年貢,18
米之内,4
之内弐,1
内弐歩,1
弐歩通,5
歩通四,1
通四月,1
四月迄,3
月迄御,2
迄御指,2
御指延,6
指延被,3
延被仰,3
被仰付,156
仰付候,87
付候事,28
朱丸参,1
丸参　,1
参　　,1
　　市,1
　市郷,2
市郷共,3
郷共飯,2
共飯料,3
飯料米,1
料米相,1
米相用,2
相用節,1
用節一,1
節一日,1
一日ニ,1
日ニ三,1
ニ三度,1
三度之,3
度之内,3
之内来,3
内来五,2
来五月,2
五月迄,5
壱度を,1
度を粥,1
を粥ニ,1
粥ニ可,1
ニ可仕,2
可仕趣,2
仕趣被,1
趣被仰,3
付候御,5
候御書,6
御書付,15
書付写,4
朱丸四,1
丸四　,1
四　　,2
　　奥,1
　奥羽,1
奥羽飢,1
羽飢饉,1
飢饉ニ,1
饉ニ付,1
ニ付万,1
付万事,1
万事倹,1
事倹約,1
倹約専,1
約専可,1
専可仕,1
可仕御,4
仕御趣,4
御趣御,1
趣御改,1
御改候,1
御口達,6
口達御,1
達御趣,1
意書之,9
書之事,12
朱丸五,1
丸五　,1
五　　,7
　　於,2
　於江,2
於江戸,5
江戸旧,2
戸旧蝋,1
旧蝋奥,1
蝋奥羽,1
奥羽筋,1
羽筋稀,1
筋稀成,1
稀成飢,1
成飢饉,1
飢饉御,1
饉御趣,1
御趣ニ,4
趣ニ付,8
倹約向,2
約向被,1
向被仰,2
被仰聞,10
仰聞写,1
朱丸六,1
丸六　,1
六　　,5
　　御,6
　御郡,5
御郡代,49
郡代様,10
代様ゟ,3
様ゟ猶,1
ゟ猶々,1
猶々倹,1
々倹約,2
約向御,1
向御口,1
口達書,1
達書写,2
朱丸七,1
丸七　,1
七　　,4
　　諸,3
　諸給,1
諸給人,2
給人年,3
人年貢,3
年貢不,3
貢不都,1
不都ニ,2
都ニ付,2
ニ付村,4
付村役,1
村役人,37
役人心,2
人心ヲ,2
心ヲ付,11
ヲ付候,3
付候様,6
候様御,5
様御端,1
御端書,15
端書写,2
朱丸八,1
丸八　,1
八　　,6
　御年,1
年貢御,1
貢御定,1
御定幷,1
定幷俵,1
幷俵仕,1
俵仕立,3
仕立方,2
立方御,1
方御取,3
御取究,23
取究筋,2
究筋写,1
朱丸九,1
丸九　,1
九　　,6
　　番,1
　番非,2
番非人,18
非人小,2
人小家,2
小家取,2
家取崩,2
取崩方,2
崩方伺,1
方伺書,2
伺書之,1
朱丸拾,1
丸拾　,1
拾　　,1
　　救,4
　救助,6
救助銀,9
助銀皆,1
銀皆納,1
皆納仕,1
納仕候,6
仕候得,6
候得者,12
得者御,1
者御證,1
御證文,1
證文被,2
文被下,2
被下候,13
下候御,1
候御趣,14
御趣写,1
朱丸十,9
丸十一,1
十一　,9
一　諸,2
　諸御,1
諸御役,4
御役場,21
役場指,1
場指定,1
指定候,1
定候進,1
候進物,2
進物勤,1
物勤向,1
勤向御,2
向御取,2
取究御,4
究御趣,2
丸十二,1
十二　,6
二　持,1
　持明,1
持明院,3
明院勧,2
院勧化,2
勧化之,3
化之事,1
【前コ,1
前コマ,2
コマ裏,1
マ裏の,1
裏の貼,1
の貼り,1
貼り紙,7
り紙】,4
○天保,4
天保四,2
保四巳,2
四巳年,3
巳年　,1
年　御,1
　御趣,3
趣意被,8
意被仰,8
年觸相,1
觸相申,1
相申候,1
申候覚,1
天保五,4
保五午,4
五午年,5
未申酉,1
申酉戌,1
酉戌　,1
戌　　,1
　　此,3
　此御,3
此御株,3
御株無,3
株無御,3
無御座,7
御座候,33
天保十,5
保十亥,2
十亥年,2
子丑　,1
丑　　,1
保十三,3
十三寅,3
三寅年,6
卯　　,1
○弘化,4
弘化元,3
化元辰,1
元辰年,1
弘化二,3
化二巳,3
二巳年,3
弘化三,6
化三午,6
三午年,6
弘化四,2
化四未,2
四未年,2
嘉永元,4
○申○,1
申○酉,1
丸十三,1
十三　,8
三　　,1
　　牽,1
　牽馬,1
牽馬町,2
馬町方,2
町方御,2
究御觸,1
御觸書,1
觸書写,1
丸十四,1
十四　,7
　　虚,1
　虚無,2
虚無僧,3
無僧吹,1
僧吹笛,2
吹笛廻,3
笛廻在,3
廻在取,1
在取究,1
取究懸,1
究懸合,1
懸合而,1
合而申,1
而申継,1
申継之,2
継之事,2
丸十五,1
十五　,6
　御家,5
御家中,35
家中三,2
中三歩,3
三歩半,11
歩半寄,2
半寄懸,2
寄懸御,1
懸御趣,1
被仰出,27
仰出書,1
出書写,1
丸十六,1
