,count(100)
【表紙】,1
嘉永二年,1
○申○酉,1
可申出事,1
但云々迄,1
以下略ス,1
阿波麻植,1
申付候事,1
得可申事,1
○【朱】,15
仁木礼助,1
東條清蔵,1
奉畏誠ニ,1
ごうじう,1
主人ハ愛,1
右之通厚,1
申聞候事,3
御郡代處,1
中申達事,1
武市増助,1
後藤庄助,3
名東郡中,4
佐藤岩六,2
組頭當テ,1
名東名西,1
一もの迄,1
アザムル,1
サダマル,1
仕處如件,1
與頭當テ,1
三十五番,1
被仰付候,1
申出候筈,1
嘉永四年,1
入尺六寸,1
亥十二月,1
置可申事,1
アブナキ,1
候哉之事,1
正月々番,1
諸御手崎,2
三月朔日,1
寅閏七月,1
郡付浪人,1
造酒才判,1
卯十一月,1
海部那賀,1
大嶋瀧蔵,1
岡本春吉,1
安右衛門,1
申出候事,1
指出候事,1
【右丁】,1
【左丁】,1
可相及事,1
書付之写,1
諸國在町,2
問屋　中,1
書如此候,1
酒造家中,1
何兵衛印,1
大江真蔵,1
鈴江益蔵,1
沖洲右同,1
野村弁作,1
安政四年,1
巳十二月,2
湯浅竜助,2
佐野芳助,1
岸　喜蔵,1
知葉今助,1
御上書ニ,1
付紙ニ曰,1
四月朔日,1
