　,8
通,5
ニ,2
千,5
石,3
四,2
三,2
六,1
引,1
延,1
屋,3
弐,1
七,3
壱,1
目,1
以,3
五,3
枚,1
宛,1
井,1
合,1
御,5
前,1
八,2
