,count(9562)
がひ,4
いま,6
様子,7
つき,4
日を,4
り又,5
しを,4
日数,4
も此,5
病あ,6
きを,10
なか,7
かれ,7
おそ,7
り此,10
る事,5
へる,11
分の,5
治療,5
て何,4
しる,4
るし,6
見へ,6
へざ,4
医を,5
りを,8
むき,4
あや,11
医の,10
范雲,4
ふし,5
文伯,5
り何,4
此病,8
病を,13
すこ,5
なば,4
一生,4
くは,12
がい,11
を聞,4
治し,6
事を,7
あつ,5
てく,4
所は,5
て其,6
諸医,5
かる,8
然し,6
大き,6
云は,5
父子,4
みて,9
を得,6
は其,5
やと,14
うし,5
は此,6
とを,11
るな,17
治す,20
さに,5
を知,12
がら,4
かん,8
の病,8
知る,5
ふは,10
常に,12
不学,7
物の,9
の補,5
の外,4
もま,4
をわ,4
へず,4
薬を,8
要と,4
地黄,4
に用,5
医学,4
きな,7
三の,6
をこ,5
へど,21
病人,14
人に,9
をし,6
三と,4
り其,7
天下,4
直瀬,4
にか,11
かへ,7
んに,7
の字,4
に聞,4
上に,5
と云,15
は皆,9
を治,17
は病,5
の入,6
のあ,9
のた,5
のち,5
のつ,7
の法,5
家に,6
うす,4
に水,4
天目,6
のむ,4
むか,6
十目,5
目に,6
く成,4
り候,5
多く,10
さま,7
まじ,5
ばさ,5
に候,7
けり,10
て治,7
候や,5
天に,4
り医,5
同じ,10
沙汰,6
我医,5
ねば,4
陰陽,14
二儀,4
を尋,6
なが,5
のす,4
心中,6
まは,11
もさ,4
きた,4
くひ,4
たす,8
し医,4
ろし,5
学の,4
へと,5
女の,7
うつ,4
事あ,7
如何,4
ふ医,4
牢人,8
屋主,6
薬種,10
婚礼,4
しけ,15
ば医,6
くさ,4
子を,10
手代,8
りけ,15
渡り,4
此薬,4
病に,4
ころ,5
ばあ,6
て此,5
らせ,5
れか,6
何が,7
の者,6
名を,5
はら,4
ふに,5
とめ,4
〴〵,4
悪事,4
り見,5
堕胎,4
おろ,4
不義,4
みに,4
にう,4
ふべ,5
だし,5
中華,7
りそ,4
し ,4
衆医,4
はま,4
うれ,4
防禦,4
りぬ,4
大病,4
雅忠,4
まだ,5
？】,8
ぐひ,5
生に,5
つれ,6
のさ,4
の神,5
上世,5
幻術,8
水を,4
猿引,5
いだ,9
術者,7
まど,14
裸身,5
標本,5
山姥,9
越路,4
木瓜,4
六月,4
草湯,4
八月,4
伯玉,5
嗣伯,4
米屋,4
書林,4
二条,4
林　,4
兵衛,4
富士川,15
395,9
文字】,4
加持祈,4
朱印・,12
学図書,5
談義巻,9
たまひ,6
を以て,21
ずんば,5
ことに,5
れども,18
がごと,9
ページ,8
絵のみ,6
此故に,4
医者と,4
是より,10
人参と,4
左ルビ,16
人参は,5
日本に,4
日本の,4
独参湯,9
〳〵と,8
のやう,5
ばかり,5
見れば,5
やゝも,4
おもふ,6
たとへ,4
不思議,4
桂枝湯,4
のごと,13
見ゆる,4
然るに,5
きもの,5
多けれ,4
〳〵の,5
ふやう,5
あやま,5
よ〳〵,4
て是を,5
らずや,8
を要と,4
およば,4
曲直瀬,4
さかん,4
と云ふ,7
ともに,5
り故に,6
ものに,6
ものを,5
なくて,6
こりて,4
は常に,5
者あり,6
薬種屋,6
手代共,7
し或は,4
【？】,8
たぐひ,4
まどは,7
まどふ,5
麻草湯,4
医者談義,19
富士川本,10
・富士川,12
【朱印・,12
大学図書,5
やう〳〵,4
ページ・,4
はなはだ,6
いよ〳〵,4
わきまへ,4
いたす所,4
左ルビ】,7
大はやり,4
医者談義　,8
【左ページ,5
【左ルビ・,9
しくおもひ,4
」左ルビ】,7
士川游寄贈】,5
富士川游寄贈】,5
朱印・山口文庫】,4
【朱印・山口文庫】,4
朱印・京都帝国大学図書之印】,4
【朱印・京都帝国大学図書之印】,4
整理ラベル・富士川本／イ／395】,8
【整理ラベル・富士川本／イ／395】,8
【黒印・705823　昭和15.9.5,4
【黒印・705823　昭和15.9.5】,4
