,count(23522)
【,104
収,6
蔵,8
用,54
外,20
箱,5
・,45
表,15
紙,16
】,104
医,187
者,132
談,44
義,47
　,53
五,35
冊,3
背,7
 ,14
富,18
士,19
川,18
本,65
イ,14
3,13
9,14
5,22
整,8
理,26
ラ,10
ベ,8
ル,26
／,16
題,5
箋,3
一,131
貼,2
ヵ,11
、,5
手,35
書,31
き,202
文,20
字,15
ヲ,1
モ,1
テ,1
目,24
録,2
人,174
参,53
好,7
悪,15
之,22
配,4
剤,7
大,69
小,31
加,10
持,13
祈,13
祷,2
病,119
家,67
需,2
レ,4
至,12
賤,4
中,69
有,11
二,54
殊,8
常,25
功,5
朱,13
印,23
京,19
都,11
帝,9
国,24
学,39
図,6
游,5
寄,7
贈,6
山,34
口,24
庫,4
黒,8
7,4
0,6
8,5
2,5
昭,4
和,29
1,6
.,11
疱,16
瘡,18
神,28
発,10
不,45
巻,22
夫,13
の,954
起,3
り,741
は,601
天,39
地,15
ひ,146
ら,270
け,125
て,728
八,19
十,62
万,9
千,12
百,32
年,37
に,920
し,657
今,36
よ,144
算,1
七,19
前,19
あ,281
た,262
つ,98
竺,1
震,1
旦,3
我,27
朝,25
三,74
真,15
唐,24
太,10
昊,1
伏,16
氏,9
出,45
ま,154
卦,2
を,591
開,2
陰,35
陽,28
行,22
道,36
か,255
教,4
ふ,178
こ,173
れ,298
易,6
と,709
名,41
付,17
上,58
下,33
成,57
炎,2
農,2
切,8
草,17
木,27
気,59
味,9
嘗,1
日,70
数,16
充,1
六,21
種,13
薬,90
品,4
定,9
め,60
経,24
後,21
黄,10
熊,5
岐,1
伯,18
鬼,6
曳,1
区,3
庾,1
等,10
諸,20
臣,1
身,20
形,13
体,9
臓,1
腑,1
絡,1
論,16
治,63
す,273
る,484
法,38
素,2
問,14
九,14
霊,9
枢,1
合,26
内,28
い,341
以,38
世,34
ぶ,21
な,501
ず,135
ん,87
ば,207
ゆ,53
べ,99
へ,191
先,10
漢,2
長,13
沙,8
守,4
張,7
仲,8
景,8
傷,11
寒,23
雑,2
方,28
盛,6
隋,2
宋,6
元,16
明,27
お,95
ほ,19
く,239
牛,5
汗,10
棟,1
庇,1
是,73
事,62
己,6
貴,6
命,18
少,12
彦,1
既,8
代,28
流,21
伝,15
丹,10
波,5
近,22
半,14
井,8
両,21
然,35
ど,81
も,329
慶,2
幾,2
許,6
子,67
施,3
院,6
使,3
だ,39
さ,104
民,3
救,1
せ,115
来,33
平,10
御,25
馬,9
靴,1
童,1
筆,1
墨,1
髭,1
奴,2
角,4
介,1
ろ,25
知,28
ぬ,38
稀,2
衆,13
規,2
矩,1
回,3
春,10
仮,2
見,56
似,9
注,2
が,170
何,42
間,15
や,166
頭,10
羽,2
織,1
駕,4
籠,5
乗,15
物,50
び,15
昼,8
夜,20
そ,38
げ,12
廻,4
孫,4
虱,1
わ,37
ご,38
分,25
散,6
々,20
里,6
「,10
」,10
＝,6
っ,4
う,86
時,26
左,27
ペ,8
ー,8
ジ,8
挿,9
絵,12
み,50
右,15
村,7
所,60
此,77
故,16
狂,7
哥,1
駒,1
ざ,47
ゑ,2
ゝ,69
昌,1
衰,2
也,16
且,8
恥,5
売,10
棒,2
同,24
卑,2
む,47
比,11
存,6
愈,9
ぼ,7
感,3
別,9
鼻,4
嗽,6
重,9
熱,15
ね,27
ぢ,2
劫,1
赤,2
線,2
丸,8
込,2
翻,1
刻,4
面,7
扶,2
取,30
ビ,16
ち,31
妻,10
宜,1
入,46
■,16
様,8
界,4
沢,2
銀,7
証,3
遥,1
光,2
星,1
精,9
紫,3
向,7
生,37
じ,46
自,5
渡,8
黨,3
最,1
新,7
羅,8
高,17
麗,8
済,3
韓,5
乃,1
鮮,8
次,8
猶,4
奥,7
北,5
ゞ,14
遼,3
東,12
亞,1
女,29
直,7
嶋,4
交,1
又,27
ぐ,16
南,6
毎,4
斤,4
宛,3
貢,1
劣,1
商,2
共,14
受,5
得,26
判,3
禄,3
で,41
皆,28
偽,6
づ,18
寸,1
噛,2
卒,1
倒,1
吹,1
忽,5
蘇,4
些,1
煎,6
汁,5
呑,2
立,22
乱,5
心,24
恐,5
蛇,3
蝎,1
試,1
走,8
息,4
正,12
徳,2
作,5
夥,1
贋,1
頬,1
町,19
蓋,5
独,11
湯,30
匁,12
死,15
垂,1
無,16
可,2
郷,4
或,17
ぎ,21
儀,12
奔,1
哺,1
頃,7
広,3
賎,1
惑,4
財,2
費,1
助,5
遠,9
鄙,2
白,8
牙,4
四,21
枚,3
肩,1
履,1
若,8
党,1
鳴,5
店,9
安,9
去,9
室,3
在,3
金,15
男,9
歳,4
虚,4
火,14
動,6
症,9
肺,2
〳,31
〵,35
亭,1
主,11
僭,1
贅,1
件,6
師,14
崇,1
始,7
他,11
放,2
懸,3
窯,1
淋,3
随,4
料,5
例,3
猿,8
餅,3
服,23
儈,1
買,7
貫,2
具,4
葬,1
送,1
仕,7
ヶ,2
茶,8
油,4
揚,3
彼,19
異,11
投,4
田,13
簺,1
庵,4
云,23
双,2
勘,1
刺,3
巫,3
耆,4
婆,6
扁,5
鵲,5
胗,12
脉,10
通,12
輿,1
車,3
引,14
祭,2
ゐ,5
古,17
ン,1
ド,1
屋,33
風,6
呂,1
晴,2
巾,1
着,10
路,7
居,10
喰,1
貧,6
鑵,2
母,7
孝,1
老,8
看,3
昧,2
飲,3
頼,1
ぞ,23
復,6
痰,3
痛,7
脾,11
胃,7
帰,7
芪,1
香,5
酸,1
棗,5
仁,7
龍,6
眼,6
肉,4
越,9
扱,1
其,65
調,1
鳥,3
辺,4
払,1
便,6
吞,1
残,5
粒,2
銭,4
核,2
欺,1
言,15
語,7
断,5
横,3
花,2
類,6
部,5
護,2
摩,2
灰,1
石,11
腸,1
鏡,1
第,7
声,6
机,1
叩,3
勝,6
障,2
糞,7
斎,6
講,4
升,14
聞,25
秘,3
