,count(12606)
【収蔵,3
収蔵用,3
蔵用外,3
用外箱,3
外箱・,3
箱・表,2
・表紙,2
表紙】,7
医者談,19
者談義,19
談義　,8
義　五,3
　五冊,3
箱・背,1
・背表,1
背表紙,3
五冊 ,1
冊 　,1
 　　,1
　　　,7
　　富,1
　富士,1
富士川,15
士川本,10
川本　,2
本　イ,2
　イ　,2
イ　3,1
　39,1
395,9
【整理,8
整理ラ,8
理ラベ,8
ラベル,8
ベル・,8
ル・富,8
・富士,12
川本／,8
本／イ,8
／イ／,8
イ／3,8
／39,8
95】,8
【表紙,1
表紙　,3
紙　題,3
　題箋,3
題箋】,3
義　　,5
　　一,1
【貼紙,2
貼紙ヵ,1
紙ヵ、,1
ヵ、手,1
、手書,1
手書き,2
書き文,2
き文字,2
文字】,4
イ一ヲ,1
一ヲモ,1
ヲモテ,1
大小之,2
加持祈,4
持祈祷,1
至賤中,2
殊常功,2
【朱印,12
朱印・,12
印・京,4
・京都,4
京都帝,4
都帝国,4
帝国大,4
国大学,4
大学図,5
学図書,5
図書之,4
書之印,4
之印】,4
印・富,4
士川游,5
川游寄,5
游寄贈,5
寄贈】,5
印・山,4
・山口,4
山口文,4
口文庫,4
文庫】,4
【黒印,4
黒印・,4
印・7,4
・70,4
705,4
058,4
582,4
823,4
23　,4
3　昭,4
　昭和,4
昭和1,4
和15,4
15.,4
5.9,4
.9.,4
9.5,4
.5】,4
疱瘡神,2
談義巻,9
義巻一,1
りは天,1
は天地,2
天地ひ,1
地ひら,1
ひらけ,1
らけて,1
けて八,1
て八十,1
八十一,1
十一万,1
一万五,1
万五千,1
五千五,1
百八十,2
八十二,1
十二年,2
二年に,2
年にし,3
にして,58
して今,3
て今よ,1
今より,2
て二万,1
二万二,1
万二千,1
二千八,1
千八百,1
八百七,1
百七十,1
にあた,4
あたつ,2
たつて,4
三国の,1
太昊伏,1
昊伏義,1
出たま,3
たまひ,6
まひて,4
の道を,1
道をあ,1
をあき,1
あきら,2
きらか,2
らかに,2
たまふ,3
まふこ,2
ふこれ,2
これを,5
付て上,1
て上下,2
上下二,1
と成て,5
成て今,1
て今に,2
今につ,1
につた,1
つたは,2
たはれ,2
はれり,2
伏義よ,1
義より,1
より一,2
り一万,1
一万七,1
万七千,1
七千七,1
千七百,1
七百八,1
八十七,1
十七年,1
七年に,1
ひて一,2
切草木,1
一年の,1
年の日,1
の日の,1
て三百,1
三百六,1
百六十,2
六十五,1
られ上,1
れ上中,1
上中下,1
中下三,1
下三巻,1
三巻の,1
をあら,5
あらは,6
らはし,3
はして,3
神農氏,1
