,count(2717)
【収蔵用外箱・背表紙】,1
医者談義　五冊 　　　,1
者談義　五冊 　　　　,1
談義　五冊 　　　　　,1
義　五冊 　　　　　　,1
　五冊 　　　　　　富,1
五冊 　　　　　　富士,1
冊 　　　　　　富士川,1
 　　　　　　富士川本,1
　　　　　　富士川本　,1
　　　　　富士川本　イ,1
　　　　富士川本　イ　,1
　　　富士川本　イ　3,1
　　富士川本　イ　39,1
　富士川本　イ　395,1
【整理ラベル・富士川本,8
整理ラベル・富士川本／,8
理ラベル・富士川本／イ,8
ラベル・富士川本／イ／,8
ベル・富士川本／イ／3,8
ル・富士川本／イ／39,8
・富士川本／イ／395,8
富士川本／イ／395】,8
【貼紙ヵ、手書き文字】,1
【朱印・京都帝国大学図,4
朱印・京都帝国大学図書,4
印・京都帝国大学図書之,4
・京都帝国大学図書之印,4
京都帝国大学図書之印】,4
【朱印・富士川游寄贈】,4
【黒印・705823　,4
黒印・705823　昭,4
印・705823　昭和,4
・705823　昭和1,4
705823　昭和15,4
05823　昭和15.,4
5823　昭和15.9,4
823　昭和15.9.,4
23　昭和15.9.5,4
3　昭和15.9.5】,4
りは天地ひらけて八十一,1
は天地ひらけて八十一万,1
天地ひらけて八十一万五,1
地ひらけて八十一万五千,1
ひらけて八十一万五千五,1
百八十二年にして今より,1
伏義より一万七千七百八,1
義より一万七千七百八十,1
より一万七千七百八十七,1
り一万七千七百八十七年,1
一万七千七百八十七年に,1
万七千七百八十七年にし,1
七千七百八十七年にして,1
世ならずんば用ゆべから,1
ならずんば用ゆべからず,1
らずんば用ゆべからずと,1
ずんば用ゆべからずとい,1
んば用ゆべからずといへ,1
ば用ゆべからずといへり,1
年の後今より千五百年の,1
の薬法三百九十七法の治,1
薬法三百九十七法の治法,1
法三百九十七法の治法を,1
三百九十七法の治法を定,1
することに成しなり是は,1
もなしいにしへは　天子,1
なしいにしへは　天子よ,1
しいにしへは　天子より,1
いにしへは　天子より諸,1
にしへは　天子より諸国,1
しへは　天子より諸国へ,1
【「わろ」＝人をののし,1
「わろ」＝人をののしっ,1
わろ」＝人をののしって,1
ろ」＝人をののしってい,1
」＝人をののしっていう,1
＝人をののしっていう時,1
人をののしっていう時に,1
をののしっていう時に使,1
ののしっていう時に使う,1
のしっていう時に使う】,1
【左ページは挿絵のみ】,1
【右ページは挿絵のみ】,1
のなき所なし此故に狂哥,1
なき所なし此故に狂哥に,1
き所なし此故に狂哥には,1
所なし此故に狂哥にはひ,1
なし此故に狂哥にはひが,1
し此故に狂哥にはひがし,1
しらみ日の出医者とよま,1
らみ日の出医者とよまれ,1
さらゆるていをゑがゝれ,1
らゆるていをゑがゝれ医,1
ゆるていをゑがゝれ医道,1
るていをゑがゝれ医道の,1
なり是よりして医者のふ,1
り是よりして医者のふり,1
しめらるむべなるかな此,1
やかしはや人参とすゝめ,1
かしはや人参とすゝめか,1
しはや人参とすゝめかけ,1
【赤線や黒丸の書き込み,1
赤線や黒丸の書き込みが,1
線や黒丸の書き込みがあ,1
や黒丸の書き込みがある,1
黒丸の書き込みがあるが,1
丸の書き込みがあるが翻,1
の書き込みがあるが翻刻,1
書き込みがあるが翻刻に,1
き込みがあるが翻刻には,1
込みがあるが翻刻には書,1
みがあるが翻刻には書か,1
があるが翻刻には書かず,1
あるが翻刻には書かず】,1
【左ルビ・ちうげん】の,1
しからば御入■■■とい,1
からば御入■■■といふ,1
せしは用ゆべき用ゆべか,1
【左ルビ・むらさき】あ,1
左ルビ・むらさき】あり,1
す唐より渡る人参中にも,1
また高麗の次なり三韓よ,1
た高麗の次なり三韓より,1
といふ所あり是より出る,1
いふ所あり是より出る参,1
ふ所あり是より出る参を,1
