,count(2222)
医者談義　五冊 　　　　,1
者談義　五冊 　　　　　,1
談義　五冊 　　　　　　,1
義　五冊 　　　　　　富,1
　五冊 　　　　　　富士,1
五冊 　　　　　　富士川,1
冊 　　　　　　富士川本,1
 　　　　　　富士川本　,1
　　　　　　富士川本　イ,1
　　　　　富士川本　イ　,1
　　　　富士川本　イ　3,1
　　　富士川本　イ　39,1
　　富士川本　イ　395,1
【整理ラベル・富士川本／,8
整理ラベル・富士川本／イ,8
理ラベル・富士川本／イ／,8
ラベル・富士川本／イ／3,8
ベル・富士川本／イ／39,8
ル・富士川本／イ／395,8
・富士川本／イ／395】,8
【朱印・京都帝国大学図書,4
朱印・京都帝国大学図書之,4
印・京都帝国大学図書之印,4
・京都帝国大学図書之印】,4
【黒印・705823　昭,4
黒印・705823　昭和,4
印・705823　昭和1,4
・705823　昭和15,4
705823　昭和15.,4
05823　昭和15.9,4
5823　昭和15.9.,4
823　昭和15.9.5,4
23　昭和15.9.5】,4
りは天地ひらけて八十一万,1
は天地ひらけて八十一万五,1
天地ひらけて八十一万五千,1
地ひらけて八十一万五千五,1
伏義より一万七千七百八十,1
義より一万七千七百八十七,1
より一万七千七百八十七年,1
り一万七千七百八十七年に,1
一万七千七百八十七年にし,1
万七千七百八十七年にして,1
世ならずんば用ゆべからず,1
ならずんば用ゆべからずと,1
らずんば用ゆべからずとい,1
ずんば用ゆべからずといへ,1
んば用ゆべからずといへり,1
の薬法三百九十七法の治法,1
薬法三百九十七法の治法を,1
法三百九十七法の治法を定,1
もなしいにしへは　天子よ,1
なしいにしへは　天子より,1
しいにしへは　天子より諸,1
いにしへは　天子より諸国,1
にしへは　天子より諸国へ,1
【「わろ」＝人をののしっ,1
「わろ」＝人をののしって,1
わろ」＝人をののしってい,1
ろ」＝人をののしっていう,1
」＝人をののしっていう時,1
＝人をののしっていう時に,1
人をののしっていう時に使,1
をののしっていう時に使う,1
ののしっていう時に使う】,1
のなき所なし此故に狂哥に,1
なき所なし此故に狂哥には,1
き所なし此故に狂哥にはひ,1
所なし此故に狂哥にはひが,1
なし此故に狂哥にはひがし,1
しらみ日の出医者とよまれ,1
さらゆるていをゑがゝれ医,1
らゆるていをゑがゝれ医道,1
ゆるていをゑがゝれ医道の,1
なり是よりして医者のふり,1
やかしはや人参とすゝめか,1
かしはや人参とすゝめかけ,1
【赤線や黒丸の書き込みが,1
赤線や黒丸の書き込みがあ,1
線や黒丸の書き込みがある,1
や黒丸の書き込みがあるが,1
黒丸の書き込みがあるが翻,1
