,count(6869)
【収蔵用外箱,3
収蔵用外箱・,3
蔵用外箱・表,2
用外箱・表紙,2
外箱・表紙】,2
医者談義　五,3
者談義　五冊,3
蔵用外箱・背,1
用外箱・背表,1
外箱・背表紙,1
箱・背表紙】,1
談義　五冊 ,1
義　五冊 　,1
　五冊 　　,1
五冊 　　　,1
冊 　　　　,1
 　　　　　,1
　　　　　　,1
　　　　　富,1
　　　　富士,1
　　　富士川,1
　　富士川本,1
　富士川本　,1
富士川本　イ,2
士川本　イ　,2
川本　イ　3,1
本　イ　39,1
　イ　395,1
【整理ラベル,8
整理ラベル・,8
理ラベル・富,8
ラベル・富士,8
ベル・富士川,8
ル・富士川本,8
・富士川本／,8
富士川本／イ,8
士川本／イ／,8
川本／イ／3,8
本／イ／39,8
／イ／395,8
イ／395】,8
【表紙　題箋,1
表紙　題箋】,3
医者談義　　,5
者談義　　一,1
【貼紙ヵ、手,1
貼紙ヵ、手書,1
紙ヵ、手書き,1
ヵ、手書き文,1
、手書き文字,1
手書き文字】,2
【朱印・京都,4
朱印・京都帝,4
印・京都帝国,4
・京都帝国大,4
京都帝国大学,4
都帝国大学図,4
帝国大学図書,4
国大学図書之,4
大学図書之印,4
学図書之印】,4
【朱印・富士,4
朱印・富士川,4
印・富士川游,4
・富士川游寄,4
富士川游寄贈,5
士川游寄贈】,5
【朱印・山口,4
朱印・山口文,4
印・山口文庫,4
・山口文庫】,4
【黒印・70,4
黒印・705,4
印・7058,4
・70582,4
705823,4
05823　,4
5823　昭,4
823　昭和,4
23　昭和1,4
3　昭和15,4
　昭和15.,4
昭和15.9,4
和15.9.,4
15.9.5,4
5.9.5】,4
医者談義巻一,1
りは天地ひら,1
は天地ひらけ,1
天地ひらけて,1
地ひらけて八,1
ひらけて八十,1
らけて八十一,1
けて八十一万,1
て八十一万五,1
八十一万五千,1
十一万五千五,1
百八十二年に,1
八十二年にし,1
十二年にして,2
二年にして今,1
年にして今よ,1
にして今より,1
て二万二千八,1
二万二千八百,1
万二千八百七,1
二千八百七十,1
の道をあきら,1
道をあきらか,1
をあきらかに,1
たまふこれを,1
と成て今につ,1
成て今につた,1
て今につたは,1
今につたはれ,1
につたはれり,1
伏義より一万,1
義より一万七,1
より一万七千,1
り一万七千七,1
一万七千七百,1
万七千七百八,1
七千七百八十,1
千七百八十七,1
七百八十七年,1
百八十七年に,1
八十七年にし,1
十七年にして,1
出たまひて一,1
て三百六十五,1
られ上中下三,1
れ上中下三巻,1
上中下三巻の,1
をあらはして,1
あらはして今,1
らはして今に,1
より五百年の,1
り五百年の後,1
五百年の後に,1
【鬼庾区ヵ】,1
鬼庾区ヵ】等,1
庾区ヵ】等の,1
といふ以上三,1
ぶを以て医は,1
を以て医は三,1
世ならずんば,1
ならずんば用,1
らずんば用ゆ,1
ずんば用ゆべ,1
んば用ゆべか,1
ば用ゆべから,1
用ゆべからず,1
ゆべからずと,1
べからずとい,2
からずといへ,1
らずといへり,2
年の後今より,1
の後今より千,1
後今より千五,1
今より千五百,1
より千五百年,1
り千五百年の,1
をあらはし一,1
あらはし一百,1
らはし一百十,1
はし一百十三,1
の薬法三百九,1
薬法三百九十,1
法三百九十七,1
三百九十七法,1
百九十七法の,1
九十七法の治,1
十七法の治法,1
七法の治法を,1
法の治法を定,1
められしなり,1
られしなりこ,1
れしなりこれ,1
しなりこれよ,1
なりこれより,1
のおほくなり,1
おほくなりし,1
ほくなりしこ,1
くなりしこと,1
することに成,1
ることに成し,1
ことに成しな,1
とに成しなり,1
に成しなり是,1
成しなり是は,1
家の両流また,1
なり然れども,2
以前は諸国に,1
もなしいにし,1
なしいにしへ,1
しいにしへは,1
いにしへは　,1
にしへは　天,1
しへは　天子,1
へは　天子よ,1
は　天子より,1
　天子より諸,1
天子より諸国,1
子より諸国へ,1
はせたまひし,1
せたまひしと,1
たまひしとな,1
まひしとなり,1
元和以来は太,1
和以来は太平,1
以来は太平の,1
すべをならひ,1
介もいろは知,1
もいろは知ら,1
いろは知らぬ,1
ろは知らぬは,1
付あるを見て,1
いそがしげに,1
そがしげには,1
がしげにはし,1
しげにはしり,1
のわくがごと,1
わくがごとく,1
して国々里々,1
【「わろ」＝,1
「わろ」＝人,1
わろ」＝人を,1
ろ」＝人をの,1
」＝人をのの,1
＝人をののし,1
人をののしっ,1
をののしって,1
ののしってい,1
のしっていう,1
しっていう時,1
っていう時に,1
ていう時に使,1
いう時に使う,1
う時に使う】,1
【左ページは,1
左ページは挿,1
ページは挿絵,2
ージは挿絵の,2
ジは挿絵のみ,2
は挿絵のみ】,2
【右ページは,1
右ページは挿,1
のなき所なし,1
なき所なし此,1
き所なし此故,1
所なし此故に,1
なし此故に狂,1
し此故に狂哥,1
此故に狂哥に,1
故に狂哥には,1
に狂哥にはひ,1
狂哥にはひが,1
哥にはひがし,1
しらみ日の出,1
らみ日の出医,1
み日の出医者,1
日の出医者と,1
の出医者とよ,1
出医者とよま,1
医者とよまれ,1
さらゆるてい,1
らゆるていを,1
ゆるていをゑ,1
るていをゑが,1
ていをゑがゝ,1
いをゑがゝれ,1
をゑがゝれ医,1
ゑがゝれ医道,1
がゝれ医道の,1
なり是よりし,1
り是よりして,2
是よりして医,1
よりして医者,1
りして医者の,1
して医者のふ,1
て医者のふり,1
ふりも同しや,1
りも同しやう,1
も同しやうに,1
しめらるむべ,1
めらるむべな,1
らるむべなる,1
るむべなるか,1
むべなるかな,2
べなるかな此,1
るものとおぼ,1
ものとおぼへ,1
のとおぼへて,1
やかしはや人,1
かしはや人参,1
しはや人参と,1
はや人参とす,1
や人参とすゝ,1
人参とすゝめ,1
参とすゝめか,1
とすゝめかけ,1
【赤線や黒丸,1
赤線や黒丸の,1
線や黒丸の書,1
や黒丸の書き,1
黒丸の書き込,1
丸の書き込み,1
の書き込みが,1
書き込みがあ,1
き込みがある,1
込みがあるが,1
みがあるが翻,1
があるが翻刻,1
あるが翻刻に,1
るが翻刻には,1
が翻刻には書,1
翻刻には書か,1
刻には書かず,1
には書かず】,1
【左ルビ・ち,1
左ルビ・ちう,1
ルビ・ちうげ,1
ビ・ちうげん,1
・ちうげん】,1
ちうげん】の,1
七日に成ます,1
少々人参を用,1
々人参を用ひ,1
人参を用ひて,1
しからば御入,1
からば御入■,1
らば御入■■,1
ば御入■■■,1
御入■■■と,1
入■■■とい,1
■■■といふ,1
せしは用ゆべ,1
しは用ゆべき,1
は用ゆべき用,1
用ゆべき用ゆ,1
ゆべき用ゆべ,1
べき用ゆべか,1
して人参とな,1
て人参となる,1
人参となるゆ,1
参となるゆへ,1
となるゆへに,1
に人参あれば,1
【左ルビ・む,1
左ルビ・むら,1
ルビ・むらさ,1
ビ・むらさき,1
・むらさき】,1
むらさき】あ,1
らさき】あり,1
す唐より渡る,1
唐より渡る人,1
より渡る人参,1
り渡る人参中,1
渡る人参中に,1
る人参中にも,1
また高麗の次,1
た高麗の次な,1
高麗の次なり,1
麗の次なり三,1
の次なり三韓,1
次なり三韓よ,1
なり三韓より,1
といふ所あり,1
いふ所あり是,1
ふ所あり是よ,1
所あり是より,1
あり是より出,1
り是より出る,1
是より出る参,1
より出る参を,1
といひて朝鮮,1
いひて朝鮮に,1
ひて朝鮮にま,1
て朝鮮にまさ,1
朝鮮にまさり,1
鮮にまさりて,1
にまさりて上,1
まさりて上黨,1
さりて上黨に,1
に遼東につゞ,1
遼東につゞき,1
東につゞきて,1
といふ嶋あり,1
いふ嶋あり是,1
より出る人参,1
り出る人参を,1
出る人参を朝,1
る人参を朝鮮,1
人参を朝鮮に,1
に毎年二十万,1
毎年二十万斤,1
物とす朝鮮よ,1
とす朝鮮より,1
て日本に売来,1
日本に売来り,1
本に売来りこ,1
に売来りこれ,1
売来りこれを,1
ともいふ元禄,1
もいふ元禄年,1
いふ元禄年中,1
ふ元禄年中ま,1
元禄年中まで,1
より来れる人,1
り来れる人参,1
来れる人参は,1
なし此故にわ,1
し此故にわづ,1
此故にわづか,1
にたらざる人,1
たらざる人参,1
らざる人参を,1
す此ゆへに人,1
此ゆへに人参,1
ゆへに人参を,1
るには口にく,1
には口にくわ,1
事三五里にし,1
三五里にして,1
徳年中より以,1
年中より以来,1
中より以来は,1
より以来は唐,1
り以来は唐も,1
以来は唐も日,1
来は唐も日本,1
は唐も日本も,1
唐も日本も人,1
り出せること,1
し故に種々の,1
の物おほく今,1
物おほく今の,1
おほく今の人,1
ほく今の人参,1
く今の人参は,1
今の人参は口,1
の人参は口に,1
ても三町とも,1
も三町ともゆ,1
三町ともゆか,1
町ともゆかず,1
ともゆかずし,1
もゆかずして,1
一里は日本の,1
里は日本の六,1
は日本の六町,1
日本の六町な,1
本の六町なり,1
の六町なり然,1
六町なり然れ,1
町なり然れば,1
なり然れば唐,1
り然れば唐の,1
然れば唐の五,1
れば唐の五里,1
ば唐の五里は,1
唐の五里は日,1
の五里は日本,1
五里は日本の,1
里は日本の三,1
は日本の三十,1
町なり且又唐,1
なり且又唐の,1
は一両を以て,1
り唐の一両は,1
唐の一両は十,1
の一両は十匁,2
一両は十匁を,2
両は十匁を以,1
は十匁を以て,1
十匁を以て一,1
匁を以て一両,1
を以て一両と,1
以て一両とせ,1
て一両とせり,1
一両とせりい,1
両とせりいか,1
とせりいかに,1
せりいかにも,1
人参十匁をも,1
参十匁をもつ,1
十匁をもつて,1
ことあるべし,1
とあるべし今,1
あるべし今見,1
るべし今見る,1
べし今見る所,1
し今見る所の,1
今見る所の独,1
見る所の独参,1
る所の独参湯,1
所の独参湯は,1
の独参湯は五,1
独参湯は五分,1
参湯は五分或,1
湯は五分或は,1
は五分或は一,1
五分或は一匁,1
二匁三匁をか,1
匁三匁をかぎ,1
三匁をかぎり,1
匁をかぎりと,1
をかぎりとせ,2
かぎりとせり,2
ぎりとせり儀,1
りとせり儀に,1
【左ルビ・ふ,1
左ルビ・ふき,1
ルビ・ふきだ,1
ビ・ふきだす,1
・ふきだす】,1
ふきだす】に,1
きだす】にた,1
だす】にたへ,1
す】にたへた,1
】にたへたり,1
にたへたり且,1
元文の頃より,1
にまきれもの,1
まきれもの出,1
きれもの出て,1
しむるは人参,1
むるは人参人,1
るは人参人を,1
すなり無用の,1
なり無用のも,1
り無用のもの,1
無用のものな,1
用のものなれ,1
のものなれど,1
ものなれども,1
なを取はやす,1
を取はやすよ,1
取はやすよし,1
はやすよしな,1
やすよしなり,1
すよしなり近,1
よしなり近比,1
しなり近比時,1
なり近比時め,1
り近比時めく,1
近比時めく医,1
比時めく医者,1
時めく医者に,1
といふげ也四,1
いふげ也四枚,1
かけて上下八,1
けて上下八人,1
わたりてあり,1
たりてありく,1
りてありくい,1
てありくいし,1
ありくいしや,1
りくいしやど,1
くいしやどの,1
参をあづかり,1
をあづかりて,1
へしたゝかな,1
したゝかなる,1
たゝかなる朝,1
ゝかなる朝鮮,1
かなる朝鮮人,1
なる朝鮮人参,1
る朝鮮人参に,1
してあてがふ,1
てあてがふを,1
あてがふをた,1
てがふをたれ,1
がふをたれも,1
のいきほひに,1
いきほひにて,1
の朝鮮とうけ,1
朝鮮とうけが,1
鮮とうけがへ,1
とうけがへり,1
うけがへり■,1
けがへり■■,1
がへり■■【,1
へり■■【去,1
り■■【去々,1
■■【去々ヵ,1
■【去々ヵ】,1
【去々ヵ】年,1
去々ヵ】年の,1
々ヵ】年の事,1
ヵ】年の事と,1
】年の事とや,1
あり一人男子,1
り一人男子十,1
一人男子十八,1
人男子十八歳,1
ぶりごほ〳〵,1
りごほ〳〵と,1
より外に医者,1
はないものゝ,1
ないものゝの,1
いものゝのや,1
ものゝのやう,1
のゝのやうに,1
ゝのやうにお,1
のやうにおぼ,1
やうにおぼへ,1
ひて日の始よ,1
り他医にみせ,1
他医にみせす,1
医にみせす此,1
にみせす此乗,1
みせす此乗物,1
せす此乗物に,1
しからぬに見,1
り人参は手前,1
人参は手前が,1
を用ゆべしと,1
のまぎら人参,1
まぎら人参を,1
ぎら人参を一,1
ら人参を一両,1
人参を一両代,1
参を一両代金,1
を一両代金十,1
一両代金十両,1
両代金十両と,1
代金十両とか,1
金十両とかき,1
十両とかき付,1
両とかき付て,1
とかき付てや,1
かき付てやる,1
き付てやる手,1
付てやる手■,1
てやる手■【,1
やる手■【に,1
る手■【にヵ,1
手■【にヵ】,1
入て一日に二,1
【牙人＝がじ,1
牙人＝がじん,1
人＝がじん、,1
＝がじん、牙,1
がじん、牙儈,1
じん、牙儈＝,1
ん、牙儈＝す,1
、牙儈＝すあ,1
牙儈＝すあい,1
儈＝すあい、,1
＝すあい、ど,1
すあい、どち,1
あい、どちら,1
い、どちらも,1
、どちらも売,1
どちらも売買,1
ちらも売買の,1
らも売買の仲,1
も売買の仲買,1
売買の仲買人,1
買の仲買人の,1
の仲買人のこ,1
仲買人のこと,1
買人のこと】,1
に人参百八両,1
にして六十四,1
して六十四貫,1
て六十四貫八,1
六十四貫八百,1
十四貫八百目,1
四貫八百目千,1
貫八百目千両,1
八百目千両の,1
百目千両の身,1
てうわの四貫,1
うわの四貫八,1
わの四貫八百,1
の四貫八百目,1
四貫八百目諸,1
貫八百目諸道,1
八百目諸道具,1
百目諸道具売,1
目諸道具売り,1
諸道具売りて,1
まふて百ヶ日,1
ふて百ヶ日の,1
ならぬやうに,1
らぬやうにし,1
ぬやうにした,1
やうにしたは,1
のはぎむいた,1
はぎむいたゆ,1
ぎむいたゆへ,1
また一医是も,1
た一医是も本,1
一医是も本名,1
医是も本名は,1
是も本名はい,1
も本名はいは,1
本名はいはれ,1
名はいはれぬ,1
さいの目をも,1
が此通りなら,1
此通りならば,1
通りならば乗,1
りならば乗物,1
ならば乗物は,1
らば乗物はさ,1
ば乗物はさて,1
乗物はさてお,1
物はさておき,1
て天上までも,1
天上までも引,1
上までも引上,1
までも引上ら,1
でも引上られ,1
も引上られん,1
引上られん山,1
りにおゐては,1
【耆婆＝古代,1
耆婆＝古代イ,1
婆＝古代イン,1
＝古代インド,1
古代インドの,1
代インドの名,1
インドの名医,1
ンドの名医、,1
ドの名医、扁,1
の名医、扁鵲,1
名医、扁鵲＝,1
医、扁鵲＝古,1
、扁鵲＝古代,1
扁鵲＝古代中,1
鵲＝古代中国,1
＝古代中国の,1
古代中国の名,1
代中国の名医,1
中国の名医】,1
【左ページ・,3
左ページ・挿,1
ページ・挿絵,2
ージ・挿絵の,2
ジ・挿絵のみ,2
・挿絵のみ】,2
【右ページ・,1
右ページ・挿,1
【左ページ】,1
つり者茶屋風,1
り者茶屋風呂,1
者茶屋風呂屋,1
茶屋風呂屋晴,1
屋風呂屋晴屋,1
たゝきやめば,1
