,count(4751)
【収蔵用外箱・表,2
収蔵用外箱・表紙,2
蔵用外箱・表紙】,2
【収蔵用外箱・背,1
収蔵用外箱・背表,1
蔵用外箱・背表紙,1
用外箱・背表紙】,1
医者談義　五冊 ,1
者談義　五冊 　,1
談義　五冊 　　,1
義　五冊 　　　,1
　五冊 　　　　,1
五冊 　　　　　,1
冊 　　　　　　,1
 　　　　　　富,1
　　　　　　富士,1
　　　　　富士川,1
　　　　富士川本,1
　　　富士川本　,1
　　富士川本　イ,1
　富士川本　イ　,1
富士川本　イ　3,1
士川本　イ　39,1
川本　イ　395,1
【整理ラベル・富,8
整理ラベル・富士,8
理ラベル・富士川,8
ラベル・富士川本,8
ベル・富士川本／,8
ル・富士川本／イ,8
・富士川本／イ／,8
富士川本／イ／3,8
士川本／イ／39,8
川本／イ／395,8
本／イ／395】,8
【貼紙ヵ、手書き,1
貼紙ヵ、手書き文,1
紙ヵ、手書き文字,1
ヵ、手書き文字】,1
【朱印・京都帝国,4
朱印・京都帝国大,4
印・京都帝国大学,4
・京都帝国大学図,4
京都帝国大学図書,4
都帝国大学図書之,4
帝国大学図書之印,4
国大学図書之印】,4
【朱印・富士川游,4
朱印・富士川游寄,4
印・富士川游寄贈,4
・富士川游寄贈】,4
【朱印・山口文庫,4
朱印・山口文庫】,4
【黒印・7058,4
黒印・70582,4
印・705823,4
・705823　,4
705823　昭,4
05823　昭和,4
5823　昭和1,4
823　昭和15,4
23　昭和15.,4
3　昭和15.9,4
　昭和15.9.,4
昭和15.9.5,4
和15.9.5】,4
りは天地ひらけて,1
は天地ひらけて八,1
天地ひらけて八十,1
地ひらけて八十一,1
ひらけて八十一万,1
らけて八十一万五,1
けて八十一万五千,1
て八十一万五千五,1
百八十二年にして,1
八十二年にして今,1
十二年にして今よ,1
二年にして今より,1
て二万二千八百七,1
二万二千八百七十,1
の道をあきらかに,1
と成て今につたは,1
成て今につたはれ,1
て今につたはれり,1
伏義より一万七千,1
義より一万七千七,1
より一万七千七百,1
り一万七千七百八,1
一万七千七百八十,1
万七千七百八十七,1
七千七百八十七年,1
千七百八十七年に,1
七百八十七年にし,1
百八十七年にして,1
られ上中下三巻の,1
をあらはして今に,1
より五百年の後に,1
【鬼庾区ヵ】等の,1
世ならずんば用ゆ,1
ならずんば用ゆべ,1
らずんば用ゆべか,1
ずんば用ゆべから,1
んば用ゆべからず,1
ば用ゆべからずと,1
用ゆべからずとい,1
ゆべからずといへ,1
べからずといへり,1
年の後今より千五,1
の後今より千五百,1
後今より千五百年,1
今より千五百年の,1
をあらはし一百十,1
あらはし一百十三,1
の薬法三百九十七,1
薬法三百九十七法,1
法三百九十七法の,1
三百九十七法の治,1
百九十七法の治法,1
九十七法の治法を,1
十七法の治法を定,1
められしなりこれ,1
られしなりこれよ,1
れしなりこれより,1
のおほくなりしこ,1
おほくなりしこと,1
することに成しな,1
ることに成しなり,1
ことに成しなり是,1
とに成しなり是は,1
もなしいにしへは,1
なしいにしへは　,1
しいにしへは　天,1
いにしへは　天子,1
にしへは　天子よ,1
しへは　天子より,1
へは　天子より諸,1
は　天子より諸国,1
　天子より諸国へ,1
はせたまひしとな,1
せたまひしとなり,1
元和以来は太平の,1
介もいろは知らぬ,1
もいろは知らぬは,1
いそがしげにはし,1
そがしげにはしり,1
