,count(315)
医者談義　五冊 　　　　　　富士川本　イ,1
者談義　五冊 　　　　　　富士川本　イ　,1
談義　五冊 　　　　　　富士川本　イ　3,1
義　五冊 　　　　　　富士川本　イ　39,1
　五冊 　　　　　　富士川本　イ　395,1
【黒印・705823　昭和15.9.5】,4
【「わろ」＝人をののしっていう時に使う】,1
【赤線や黒丸の書き込みがあるが翻刻には書,1
赤線や黒丸の書き込みがあるが翻刻には書か,1
線や黒丸の書き込みがあるが翻刻には書かず,1
や黒丸の書き込みがあるが翻刻には書かず】,1
一里は日本の六町なり然れば唐の五里は日本,1
里は日本の六町なり然れば唐の五里は日本の,1
は日本の六町なり然れば唐の五里は日本の三,1
日本の六町なり然れば唐の五里は日本の三十,1
り唐の一両は十匁を以て一両とせりいかにも,1
ことあるべし今見る所の独参湯は五分或は一,1
とあるべし今見る所の独参湯は五分或は一匁,1
の朝鮮とうけがへり■■【去々ヵ】年の事と,1
朝鮮とうけがへり■■【去々ヵ】年の事とや,1
のまぎら人参を一両代金十両とかき付てやる,1
まぎら人参を一両代金十両とかき付てやる手,1
ぎら人参を一両代金十両とかき付てやる手■,1
ら人参を一両代金十両とかき付てやる手■【,1
人参を一両代金十両とかき付てやる手■【に,1
参を一両代金十両とかき付てやる手■【にヵ,1
を一両代金十両とかき付てやる手■【にヵ】,1
【牙人＝がじん、牙儈＝すあい、どちらも売,1
牙人＝がじん、牙儈＝すあい、どちらも売買,1
人＝がじん、牙儈＝すあい、どちらも売買の,1
＝がじん、牙儈＝すあい、どちらも売買の仲,1
がじん、牙儈＝すあい、どちらも売買の仲買,1
じん、牙儈＝すあい、どちらも売買の仲買人,1
ん、牙儈＝すあい、どちらも売買の仲買人の,1
、牙儈＝すあい、どちらも売買の仲買人のこ,1
牙儈＝すあい、どちらも売買の仲買人のこと,1
儈＝すあい、どちらも売買の仲買人のこと】,1
【耆婆＝古代インドの名医、扁鵲＝古代中国,1
耆婆＝古代インドの名医、扁鵲＝古代中国の,1
婆＝古代インドの名医、扁鵲＝古代中国の名,1
＝古代インドの名医、扁鵲＝古代中国の名医,1
古代インドの名医、扁鵲＝古代中国の名医】,1
にまかせて三十日ばかりにやくわん屋の身代,1
まかせて三十日ばかりにやくわん屋の身代た,1
かせて三十日ばかりにやくわん屋の身代たゝ,1
六十六部は世間になふても事かけず医者と金,1
十六部は世間になふても事かけず医者と金銀,1
出ていひひろめらるゝなあれにては医者はは,1
ていひひろめらるゝなあれにては医者ははや,1
いひひろめらるゝなあれにては医者ははやら,1
【阿毘羅吽欠・あびらうんけん＝大日如来の,1
阿毘羅吽欠・あびらうんけん＝大日如来の真,1
毘羅吽欠・あびらうんけん＝大日如来の真言,1
羅吽欠・あびらうんけん＝大日如来の真言】,1
のくすりは一ふくわづか一匁より一匁四五分,1
のきびしさいらひどさもはやこらへがたく候,1
きびしさいらひどさもはやこらへがたく候こ,1
びしさいらひどさもはやこらへがたく候これ,1
しさいらひどさもはやこらへがたく候これ見,1
さいらひどさもはやこらへがたく候これ見さ,1
ござれども何ともならぬあん■■【ばくヵ】,1
ざれども何ともならぬあん■■【ばくヵ】者,1
れども何ともならぬあん■■【ばくヵ】者け,1
ども何ともならぬあん■■【ばくヵ】者けれ,1
も何ともならぬあん■■【ばくヵ】者けれと,1
何ともならぬあん■■【ばくヵ】者けれとも,1
するに十日ばかりにして何のしるしも見へざ,1
るに十日ばかりにして何のしるしも見へざれ,1
しとなげく文伯のいはく病を愈すことはいと,1
となげく文伯のいはく病を愈すことはいとや,1
なげく文伯のいはく病を愈すことはいとやす,1
げく文伯のいはく病を愈すことはいとやすし,1
なりましてや二年をやはやく治したきといへ,1
りましてや二年をやはやく治したきといへり,1
の補たるを知らずとむべなるかな補中に瀉あ,1
補たるを知らずとむべなるかな補中に瀉あり,1
たるを知らずとむべなるかな補中に瀉あり瀉,1
るを知らずとむべなるかな補中に瀉あり瀉中,1
に明らかならずとは此こと也殊に頃年の医者,1
明らかならずとは此こと也殊に頃年の医者は,1
【挿絵のみ・地黄丸を売っている店先の様子,1
挿絵のみ・地黄丸を売っている店先の様子】,1
道の道の字三喜の三の字を取てみつから道三,1
の道の字三喜の三の字を取てみつから道三と,1
道の字三喜の三の字を取てみつから道三と名,1
に於て其名天下に聞へたり今世上に用ゆる所,1
於て其名天下に聞へたり今世上に用ゆる所の,1
法貴【常ヵ】のごとしといふ法は此道三より,1
れりかるがゆへに新流を当流といひ古流を他,1
りかるがゆへに新流を当流といひ古流を他流,1
かるがゆへに新流を当流といひ古流を他流と,1
るがゆへに新流を当流といひ古流を他流と云,1
がゆへに新流を当流といひ古流を他流と云ふ,1
も当流他流ともに昔は皆小包は香包にせしを,1
【左ルビ・さいまつ】を用ゆるなり然るに此,1
合に水清上なるもの四十目入る然れば天目に,1
に水清上なるもの四十目入る然れば天目に一,1
水目百二十目京升に三合入なり天目といふは,1
目百二十目京升に三合入なり天目といふは茶,1
百二十目京升に三合入なり天目といふは茶わ,1
二十目京升に三合入なり天目といふは茶わん,1
十目京升に三合入なり天目といふは茶わんの,1
くさしうつむき何ごとやらん工夫してやす〳,1
さしうつむき何ごとやらん工夫してやす〳〵,1
とばらしてのけん金子二十両出せといふいと,1
ばらしてのけん金子二十両出せといふいとや,1
に行てべいさらばさらを買わんといふ薬種屋,1
行てべいさらばさらを買わんといふ薬種屋の,1
手代共候とて出しければひたもの【注】ひね,1
代共候とて出しければひたもの【注】ひねく,1
共候とて出しければひたもの【注】ひねくり,1
候とて出しければひたもの【注】ひねくり廻,1
とて出しければひたもの【注】ひねくり廻し,1
て見居たりければ手代どもいひけるはそも此,1
見居たりければ手代どもいひけるはそも此べ,1
居たりければ手代どもいひけるはそも此べい,1
さらばさらと申物いかなる病を治する薬にて,1
らばさらと申物いかなる病を治する薬にて候,1
【虫損部は山口大学図書館所蔵本を参照　h,1
虫損部は山口大学図書館所蔵本を参照　ht,1
損部は山口大学図書館所蔵本を参照　htt,1
部は山口大学図書館所蔵本を参照　http,1
は山口大学図書館所蔵本を参照　https,1
山口大学図書館所蔵本を参照　https:,1
口大学図書館所蔵本を参照　https:/,1
大学図書館所蔵本を参照　https://,1
学図書館所蔵本を参照　https://k,1
図書館所蔵本を参照　https://ko,1
書館所蔵本を参照　https://kot,1
館所蔵本を参照　https://kote,1
所蔵本を参照　https://koten,1
蔵本を参照　https://kotens,1
本を参照　https://kotense,1
を参照　https://kotensek,1
参照　https://kotenseki,1
照　https://kotenseki.,1
　https://kotenseki.n,1
https://kotenseki.ni,1
ttps://kotenseki.nij,1
tps://kotenseki.nijl,1
ps://kotenseki.nijl.,1
s://kotenseki.nijl.a,1
://kotenseki.nijl.ac,1
//kotenseki.nijl.ac.,1
/kotenseki.nijl.ac.j,1
kotenseki.nijl.ac.jp,1
otenseki.nijl.ac.jp/,1
tenseki.nijl.ac.jp/b,1
enseki.nijl.ac.jp/bi,1
nseki.nijl.ac.jp/bib,1
seki.nijl.ac.jp/bibl,1
eki.nijl.ac.jp/bibli,1
ki.nijl.ac.jp/biblio,1
i.nijl.ac.jp/biblio/,1
.nijl.ac.jp/biblio/1,1
nijl.ac.jp/biblio/10,1
ijl.ac.jp/biblio/100,1
jl.ac.jp/biblio/1002,1
l.ac.jp/biblio/10026,1
.ac.jp/biblio/100269,1
ac.jp/biblio/1002698,1
c.jp/biblio/10026985,1
.jp/biblio/100269851,1
jp/biblio/100269851/,1
p/biblio/100269851/v,1
/biblio/100269851/vi,1
biblio/100269851/vie,1
iblio/100269851/view,1
blio/100269851/viewe,1
lio/100269851/viewer,1
io/100269851/viewer/,1
o/100269851/viewer/4,1
/100269851/viewer/46,1
100269851/viewer/46】,1
ことはあるべけれども近く見聞したまふこと,1
とはあるべけれども近く見聞したまふことは,1
はあるべけれども近く見聞したまふことは有,1
たまはり候へども日本にはなきものゝやうに,1
まはり候へども日本にはなきものゝやうに存,1
はり候へども日本にはなきものゝやうに存候,1
付て何とぞ此病を治する医者やあるとたづね,1
ことの外いぶかしくおもひてなを〳〵其病人,1
