,count(10179)
【収蔵用,3
収蔵用外,3
蔵用外箱,3
用外箱・,3
外箱・表,2
箱・表紙,2
・表紙】,2
医者談義,19
者談義　,8
談義　五,3
義　五冊,3
外箱・背,1
箱・背表,1
・背表紙,1
背表紙】,3
　五冊 ,1
五冊 　,1
冊 　　,1
 　　　,1
　　　　,3
　　　富,1
　　富士,1
　富士川,1
富士川本,10
士川本　,2
川本　イ,2
本　イ　,2
　イ　3,1
イ　39,1
　395,1
【整理ラ,8
整理ラベ,8
理ラベル,8
ラベル・,8
ベル・富,8
ル・富士,8
・富士川,12
士川本／,8
川本／イ,8
本／イ／,8
／イ／3,8
イ／39,8
／395,8
395】,8
【表紙　,1
表紙　題,3
紙　題箋,3
　題箋】,3
談義　　,5
義　　一,1
【貼紙ヵ,1
貼紙ヵ、,1
紙ヵ、手,1
ヵ、手書,1
、手書き,1
手書き文,2
書き文字,2
き文字】,2
イ一ヲモ,1
一ヲモテ,1
加持祈祷,1
【朱印・,12
朱印・京,4
印・京都,4
・京都帝,4
京都帝国,4
都帝国大,4
帝国大学,4
国大学図,4
大学図書,5
学図書之,4
図書之印,4
書之印】,4
朱印・富,4
印・富士,4
富士川游,5
士川游寄,5
川游寄贈,5
游寄贈】,5
朱印・山,4
印・山口,4
・山口文,4
山口文庫,4
口文庫】,4
【黒印・,4
黒印・7,4
印・70,4
・705,4
7058,4
0582,4
5823,4
823　,4
23　昭,4
3　昭和,4
　昭和1,4
昭和15,4
和15.,4
15.9,4
5.9.,4
.9.5,4
9.5】,4
者談義巻,8
談義巻一,1
りは天地,1
は天地ひ,1
天地ひら,1
地ひらけ,1
ひらけて,1
らけて八,1
けて八十,1
て八十一,1
八十一万,1
十一万五,1
一万五千,1
万五千五,1
百八十二,1
八十二年,1
十二年に,2
二年にし,2
年にして,3
にして今,1
して今よ,1
て今より,1
て二万二,1
二万二千,1
万二千八,1
二千八百,1
千八百七,1
八百七十,1
にあたつ,2
あたつて,1
太昊伏義,1
出たまひ,3
たまひて,4
の道をあ,1
道をあき,1
をあきら,1
あきらか,2
きらかに,1
たまふこ,2
まふこれ,1
ふこれを,1
付て上下,1
て上下二,1
と成て今,1
成て今に,1
て今につ,1
今につた,1
につたは,1
つたはれ,2
たはれり,2
伏義より,1
義より一,1
より一万,1
り一万七,1
一万七千,1
万七千七,1
七千七百,1
千七百八,1
七百八十,1
百八十七,1
八十七年,1
十七年に,1
七年にし,1
まひて一,1
一年の日,1
年の日の,1
て三百六,1
三百六十,1
百六十五,1
られ上中,1
れ上中下,1
上中下三,1
中下三巻,1
下三巻の,1
をあらは,4
あらはし,3
らはして,1
はして今,1
して今に,1
より五百,1
り五百年,1
五百年の,2
百年の後,1
年の後に,1
黄帝有熊,1
【鬼庾区,1
鬼庾区ヵ,1
庾区ヵ】,1
区ヵ】等,1
ヵ】等の,1
し一切諸,1
を定めら,1
定められ,1
といふ以,1
いふ以上,1
ふ以上三,1
ぶを以て,1
を以て医,1
以て医は,1
て医は三,1
世ならず,1
ならずん,1
らずんば,2
ずんば用,1
んば用ゆ,1
ば用ゆべ,1
用ゆべか,2
ゆべから,2
べからず,12
からずと,4
らずとい,4
ずといへ,2
といへり,7
より三千,1
年の後今,1
の後今よ,1
後今より,1
今より千,1
より千五,1
り千五百,1
千五百年,1
傷寒雑病,1
寒雑病論,1
らはし一,1
はし一百,1
し一百十,1
一百十三,1
の薬法三,1
薬法三百,1
法三百九,1
三百九十,1
百九十七,1
九十七法,1
十七法の,1
七法の治,1
法の治法,1
の治法を,1
治法を定,1
められし,1
られしな,2
れしなり,3
しなりこ,1
なりこれ,2
りこれよ,1
これより,1
にいたつ,2
いたつて,3
のおほく,1
おほくな,1
ほくなり,1
くなりし,1
なりしこ,1
りしこと,1
すること,10
ることに,1
ことに成,1
とに成し,1
