,count(3963)
【収蔵用外箱・表紙,2
収蔵用外箱・表紙】,2
【収蔵用外箱・背表,1
収蔵用外箱・背表紙,1
蔵用外箱・背表紙】,1
医者談義　五冊 　,1
者談義　五冊 　　,1
談義　五冊 　　　,1
義　五冊 　　　　,1
　五冊 　　　　　,1
五冊 　　　　　　,1
冊 　　　　　　富,1
 　　　　　　富士,1
　　　　　　富士川,1
　　　　　富士川本,1
　　　　富士川本　,1
　　　富士川本　イ,1
　　富士川本　イ　,1
　富士川本　イ　3,1
富士川本　イ　39,1
士川本　イ　395,1
【整理ラベル・富士,8
整理ラベル・富士川,8
理ラベル・富士川本,8
ラベル・富士川本／,8
ベル・富士川本／イ,8
ル・富士川本／イ／,8
・富士川本／イ／3,8
富士川本／イ／39,8
士川本／イ／395,8
川本／イ／395】,8
【貼紙ヵ、手書き文,1
貼紙ヵ、手書き文字,1
紙ヵ、手書き文字】,1
【朱印・京都帝国大,4
朱印・京都帝国大学,4
印・京都帝国大学図,4
・京都帝国大学図書,4
京都帝国大学図書之,4
都帝国大学図書之印,4
帝国大学図書之印】,4
【朱印・富士川游寄,4
朱印・富士川游寄贈,4
印・富士川游寄贈】,4
【朱印・山口文庫】,4
【黒印・70582,4
黒印・705823,4
印・705823　,4
・705823　昭,4
705823　昭和,4
05823　昭和1,4
5823　昭和15,4
823　昭和15.,4
23　昭和15.9,4
3　昭和15.9.,4
　昭和15.9.5,4
昭和15.9.5】,4
りは天地ひらけて八,1
は天地ひらけて八十,1
天地ひらけて八十一,1
地ひらけて八十一万,1
ひらけて八十一万五,1
らけて八十一万五千,1
けて八十一万五千五,1
百八十二年にして今,1
八十二年にして今よ,1
十二年にして今より,1
て二万二千八百七十,1
と成て今につたはれ,1
成て今につたはれり,1
伏義より一万七千七,1
義より一万七千七百,1
より一万七千七百八,1
り一万七千七百八十,1
一万七千七百八十七,1
万七千七百八十七年,1
七千七百八十七年に,1
千七百八十七年にし,1
七百八十七年にして,1
世ならずんば用ゆべ,1
ならずんば用ゆべか,1
らずんば用ゆべから,1
ずんば用ゆべからず,1
んば用ゆべからずと,1
ば用ゆべからずとい,1
用ゆべからずといへ,1
