,count(16762)
【収,3
収蔵,3
蔵用,3
用外,3
外箱,3
箱・,3
・表,2
表紙,10
紙】,9
医者,74
者談,19
談義,35
義　,8
　五,4
五冊,3
・背,1
背表,3
冊 ,1
 　,1
　　,15
　富,1
富士,15
士川,15
川本,10
本　,2
　イ,3
イ　,2
　3,1
39,9
95,9
【整,8
整理,8
理ラ,8
ラベ,8
ベル,8
ル・,8
・富,12
本／,8
／イ,8
イ／,8
／3,8
5】,12
【表,1
紙　,3
　題,3
題箋,3
箋】,3
　一,1
【貼,2
貼紙,2
紙ヵ,1
ヵ、,1
、手,1
手書,2
書き,4
き文,2
文字,4
字】,4
イ一,1
一ヲ,1
ヲモ,1
モテ,1
目録,1
好悪,2
配剤,3
大小,3
小之,2
加持,5
持祈,4
祈祷,2
病家,14
至賤,3
賤中,2
殊常,3
常功,2
【朱,12
朱印,12
印・,16
・京,4
京都,7
都帝,4
帝国,4
国大,4
大学,5
学図,5
図書,5
書之,4
之印,4
印】,5
川游,5
游寄,5
寄贈,5
贈】,5
・山,4
山口,5
口文,4
文庫,4
庫】,4
【黒,4
黒印,4
・7,4
70,4
05,4
58,4
82,4
23,4
3　,4
　昭,4
昭和,4
和1,4
15,4
5.,4
.9,4
9.,4
.5,4
疱瘡,16
瘡神,2
義巻,9
巻一,1
人参,35
りは,9
は天,7
天地,3
地ひ,1
ひら,4
らけ,2
けて,6
て八,2
八十,4
十一,3
一万,2
万五,1
五千,1
千五,2
百八,3
十二,6
二年,4
年に,3
にし,73
して,191
て今,5
今よ,2
より,95
て二,2
二万,1
万二,1
二千,1
千八,1
八百,3
百七,1
七十,5
七年,2
にあ,31
あた,17
たつ,6
つて,16
天竺,1
震旦,1
我朝,1
三国,1
国の,3
真中,1
大唐,1
太昊,1
昊伏,1
伏義,3
出た,3
たま,20
まひ,6
ひて,24
八卦,2
の道,4
道を,1
をあ,11
あき,2
きら,3
らか,8
かに,5
まふ,5
ふこ,8
これ,15
れを,6
付て,7
て上,4
上下,3
下二,1
と成,11
成て,13
今に,2
につ,5
つた,4
たは,5
はれ,14
れり,21
義よ,1
り一,5
万七,1
七千,1
千七,1
七百,1
十七,3
炎帝,1
神農,2
て一,8
切草,1
草木,2
気味,1
一年,1
年の,8
の日,2
日の,6
て三,4
三百,3
百六,2
六十,6
十五,2
薬品,4
られ,13
れ上,1
上中,1
中下,1
下三,1
三巻,2
巻の,3
本経,1
本草,1
あら,25
らは,9
はし,12
農氏,1
り五,1
五百,2
百年,3
の後,3
後に,1
黄帝,2
帝有,1
有熊,1
岐伯,1
鬼曳,1
曳区,1
【鬼,1
鬼庾,1
庾区,1
区ヵ,1
ヵ】,10
】等,1
等の,3
諸臣,1
人身,1
経絡,1
し一,3
一切,2
切諸,1
する,82
を定,2
定め,1
めら,4
素問,2
霊枢,1
九巻,1
て十,2
八巻,1
内経,4
とい,135
いふ,83
ふ以,1
以上,2
上三,1
ぶを,1
を以,21
以て,25
て医,6
医は,15
は三,1
世な,1
なら,53
らず,71
ずん,5
んば,6
ば用,1
用ゆ,18
ゆべ,6
べか,20
から,43
ずと,16
いへ,55
へり,22
り三,3
三千,1
後今,1
り千,1
後漢,1
長沙,2
太守,2
張仲,1
仲景,5
傷寒,8
寒雑,1
雑病,1
病論,2
十六,4
六巻,1
一百,2
百十,3
十三,2
の薬,4
薬法,1
法三,1
百九,1
九十,1
七法,1
法の,6
の治,2
治法,6
法を,3
れし,11
しな,18
なり,199
りこ,6
れよ,4
医道,6
に成,15
にい,22
いた,28
医書,2
のお,5
おほ,4
ほく,2
くな,7
りし,21
しこ,6
こと,110
るこ,35
とに,5
成し,8
り是,20
是は,4
の事,8
事日,1
日本,15
ては,27
大己,2
己貴,2
貴命,2
少彦,1
彦名,1
名命,1
神代,1
和流,1
医法,3
伝り,2
りて,57
和気,4
丹波,4
の二,4
近代,3
半井,5
井家,3
道三,15
家の,10
の両,2
両流,1
流ま,1
また,13
り然,11
然れ,12
れど,18
ども,46
慶長,2
以前,4
前は,1
は諸,1
諸国,3
国に,1
医家,5
幾許,1
もな,9
なし,32
しい,3
いに,2
しへ,4
へは,4
は　,1
　天,1
天子,1
子よ,1
り諸,3
国へ,2
薬院,1
院使,1
をく,2
くだ,8
ださ,4
され,13
民病,1
はせ,5
せた,5
ひし,9
しと,45
とな,43
元和,2
和以,1
以来,4
来は,2
は太,1
太平,1
平の,1
御代,1
らふ,2
筆持,1
すべ,18
べを,1
をな,7
らひ,7
にて,58
つく,9
くる,7
角内,1
介も,1
もい,9
いろ,1
ろは,1
は知,2
知ら,7
らぬ,11
ぬは,2
なる,54
衆方,1
規矩,1
万病,2
回春,1
仮名,1
付あ,1
ある,56
るを,18
を見,13
見て,2
真似,1
【注,2
注】,2
】が,1
にや,4
やら,14
をま,5
まろ,1
ろめ,2
めて,9
長羽,1
羽織,1
見る,11
る内,1
内に,4
駕籠,4
乗物,9
にと,1
とび,2
昼夜,6
いそ,1
そが,1
がし,10
しげ,1
げに,1
には,44
しり,3
子孫,1
のわ,3
わく,1
くが,2
がご,9
ごと,32
とく,14
分散,1
て国,1
国々,1
々里,1
里々,1
【「,10
「わ,1
わろ,1
ろ」,1
」＝,1
＝人,1
人を,21
をの,4
のの,1
のし,5
しっ,1
って,2
てい,18
いう,1
う時,1
時に,7
に使,1
使う,1
う】,1
【左,16
左ペ,5
ペー,8
ージ,8
ジは,2
は挿,2
挿絵,9
絵の,6
のみ,12
み】,6
【右,4
右ペ,3
村々,1
々に,4
のな,14
なき,24
き所,3
所な,7
し此,5
此故,4
故に,16
に狂,1
狂哥,1
哥に,1
はひ,3
ひが,3
しら,7
らみ,1
み日,1
の出,2
出医,1
者と,4
とよ,1
よま,1
まれ,7
絵馬,1
ざら,2
らへ,7
へに,11
さら,11
らゆ,1
ゆる,18
るて,1
いを,2
をゑ,1
ゑが,1
がゝ,3
ゝれ,3
れ医,1
道の,6
成に,1
是よ,10
者の,19
のふ,5
ふり,7
出来,2
りも,4
も同,3
同し,3
しや,10
やう,30
うに,11
しめ,8
らる,5
るむ,1
むべ,6
べな,2
るか,5
かな,25
な此,1
の医,19
者は,14
の御,4
存知,2
なふ,5
ふて,16
さへ,5
ゆれ,2
るも,24
もの,55
のと,10
とお,14
おぼ,3
ぼへ,3
へて,12
外感,1
内傷,2
なく,26
嗽気,1
の少,1
少し,1
く三,1
三日,2
日と,1
とも,29
ねぢ,1
ぢひ,1
ひけ,6
けは,1
りと,43
やか,2
かし,16
しは,10
はや,27
や人,1
参と,4
とす,18
すゝ,7
ゝめ,4
めか,2
かけ,11
【赤,1
赤線,1
線や,1
や黒,1
黒丸,2
丸の,1
の書,2
き込,2
込み,2
みが,2
があ,2
るが,20
が翻,1
翻刻,1
刻に,1
は書,1
書か,1
かず,2
ず】,1
面扶,1
扶持,2
に百,1
百日,2
日取,1
小者,1
左ル,16
ルビ,16
ビ・,9
・ち,1
ちう,1
うげ,1
げん,2
ん】,2
】の,6
今日,3
七日,1
日に,4
成ま,1
ます,6
少々,2
々人,1
参を,8
を用,17
用ひ,10
しか,26
らば,16
ば御,1
御入,1
入■,1
■■,4
■と,1
にな,14
世界,1
に人,5
参が,2
沢山,2
が沢,1
せし,20
は用,2
べき,17
き用,1
ずの,2
病証,1
参は,5
遥光,1
光星,1
て人,7
るゆ,2
ゆへ,17
参あ,1
あれ,15
れば,113
紫気,1
・む,1
むら,1
らさ,1
さき,2
き】,1
】あ,1
あり,105
背陽,1
陽向,1
向陰,1
に生,1
生じ,2
じて,9
自然,3
然生,1
す唐,1
唐よ,1
り渡,1
渡る,1
る人,8
参中,1
中に,21
にも,24
上黨,2
黨参,1
上と,2
高麗,7
百済,2
そ■,1
■三,1
合し,1
朝鮮,7
ふ此,2
此三,1
の中,11
新羅,1
を上,1
是に,9
た高,1
麗の,1
の次,2
次な,1
三韓,1
韓よ,1
猶奥,1
つゞ,2
ゞき,3
きに,19
遼東,3
ふ所,5
所あ,2
り出,6
出る,3
る参,1
いひ,39
て朝,1
鮮に,2
にま,13
まさ,4
さり,2
黨に,1
りま,8
た朝,1
鮮よ,2
に遼,1
東に,1
きて,4
女直,2
ふ嶋,1
嶋あ,1
を朝,1
りす,5
すぐ,1
ぐに,2
南京,1
に毎,1
毎年,1
年二,1
二十,7
十万,1
万斤,1
物と,1
す朝,1
是を,14
人共,1
共か,1
受得,1
て日,6
本に,4
に売,1
売来,1
来り,6
ひ又,2
判子,1
ふ元,1
元禄,2
禄年,2
年中,7
中ま,1
まで,9
およ,13
よび,3
り来,3
来れ,5
れる,6
にわ,1
わづ,2
づか,4
にた,8
たら,17
らざ,11
ざる,28
卒倒,1
した,23
たる,20
る者,6
かく,9
くれ,6
がへ,6
些少,1
の人,15
参の,3
煎汁,1
ば立,2
立所,3
所に,15
乱心,1
す此,2
此ゆ,2
るゝ,10
ゝ事,1
蛇蝎,1
のこ,17
とし,33
真偽,2
るに,42
は口,2
口に,3
にく,9
くわ,5
事三,1
三五,1
五里,2
里に,1
きれ,4
れざ,1
す正,1
徳年,1
中よ,1
り以,1
は唐,1
唐も,1
も日,2
本も,1
も人,5
上手,1
出せ,2
せる,5
し故,2
に種,1
種々,1
々の,2
偽贋,1
の物,6
物お,1
く今,1
今の,7
はり,11
ても,11
も三,1
三町,1
町と,1
もゆ,1
ゆか,2
ずし,11
れぬ,4
ぬべ,1
べし,45
唐の,4
一里,1
里は,2
は日,2
本の,4
の六,1
六町,1
町な,2
ば唐,1
の五,2
の三,7
三十,6
り且,2
且又,1
又唐,1
独参,9
参湯,10
は一,8
一両,7
両を,1
とせ,10
り唐,1
の一,7
両は,3
は十,2
十匁,4
匁を,4
両と,4
せり,10
りい,4
いか,13
参十,1
をも,11
もつ,7
せば,2
起死,1
死回,1
回生,1
者も,2
元気,2
無可,1
可有,1
とあ,31
るべ,40
し今,1
今見,2
る所,24
所の,12
の独,1
湯は,2
は五,1
五分,3
分或,1
或は,9
一匁,3
二匁,3
匁三,1
三匁,1
をか,10
かぎ,7
ぎり,7
り儀,1
儀に,1
奔哺,1
・ふ,1
ふき,1
きだ,1
だす,1
す】,1
】に,3
たへ,7
へた,4
たり,51
元文,1
文の,1
の頃,2
頃よ,1
広東,1
まき,2
れも,8
出て,7
卑賎,1
者を,7
家財,2
しむ,7
むる,7
るは,46
は人,7
参人,1
らで,3
で人,1
すな,2
り無,1
無用,4
用の,2
のも,7
なれ,22
遠鄙,1
なを,4
を取,6
取は,1
やす,7
すよ,1
よし,2
り近,3
近比,1
比時,1
時め,1
めく,1
く医,2
者に,4
の名,8
白地,1
いは,29
牙人,3
ふげ,1
げ也,1
也四,1
四枚,1
常乗,1
薬箱,1
草履,1
履取,1
若党,1
下八,1
八人,1
わた,5
てあ,6
りく,3
くい,2
いし,2
やど,1
どの,7
薬店,2
い大,1
大人,1
あづ,3
かり,12
へし,8
たゝ,9
ゝか,3
る朝,2
鮮人,1
参に,1
あて,4
てが,3
がふ,14
ふを,3
をた,11
たれ,7
のい,17
いき,2
きほ,1
ほひ,1
ひに,2
の朝,1
鮮と,1
とう,2
うけ,5
けが,2
り■,1
■【,5
【去,1
去々,1
々ヵ,1
】年,1
事と,3
とや,6
町に,1
在金,1
千両,2
両の,2
身代,2
くつ,1
つろ,1
ろが,1
がぬ,1
一人,10
人男,1
男子,3
子十,1
十八,1
八歳,1
陰虚,1
火動,1
肺火,1
ぶり,4
りご,1
ごほ,1
ほ〳,1
〳〵,31
