,count(2891)
【表,1
嘉永,22
天印,1
諸御,4
酉八,1
凡例,1
朱丸,31
米之,1
壱度,1
御口,1
倹約,4
【前,1
○天,4
年觸,1
未申,1
子丑,1
卯　,1
○弘,4
○申,1
御役,6
處ゟ,1
候様,12
御国,4
積出,1
参詣,1
舞を,1
三十,15
手代,1
墨料,1
邊路,1
四十,14
村々,8
積送,2
御主,2
取約,1
自村,1
鍛合,1
面ヲ,1
五十,6
五拾,9
御指,2
村役,7
昨年,7
高潮,1
財利,1
人御,1
指上,1
取候,2
六十,16
相及,2
毛綿,2
取究,10
多候,1
候故,1
名面,1
造高,1
上方,1
不都,2
御聴,4
ニ而,11
之向,1
百通,2
来正,2
御趣,9
三ヶ,1
候御,1
七十,9
書之,2
上納,7
爰元,1
返賣,1
御山,2
書幷,1
砲術,1
申出,13
品々,1
被仰,15
○【,75
郷店,1
有之,23
免候,1
依之,1
出買,1
ゟ之,1
右之,28
可申,20
但別,2
品も,1
一茶,1
一草,1
一　,3
一墨,1
一薪,1
一傘,1
一杓,1
一苧,1
山布,1
但染,2
一蝋,1
一古,1
但質,2
一鰯,1
一葬,1
一丸,1
以上,13
段格,1
候而,6
跡く,1
高直,1
直ニ,1
當前,1
一枚,1
之外,1
来通,1
午二,1
但本,7
性ニ,1
済ニ,1
度心,1
不申,8
猶又,3
【押,4
但云,1
以下,1
年貢,1
速取,3
右夫,1
不洩,2
巳十,3
一此,3
容易,2
恐入,1
引上,1
運凌,1
事ニ,11
申聞,10
一不,3
割當,1
相弁,1
一右,8
申事,2
御慈,1
心根,1
テツ,1
シ候,1
方行,1
一後,1
右様,6
一米,2
此惣,1
八厘,1
美馬,2
千百,1
名東,18
千弐,1
板野,3
九百,1
阿波,3
六百,1
七郡,1
惣合,1
此弐,5
内六,1
同六,1
同五,1
同三,4
一三,5
一百,1
一五,5
一拾,2
一廿,2
一四,1
一十,1
一御,16
當置,2
但御,10
外賣,1
一弐,7
有御,1
尤成,1
一前,1
指略,1
乞願,1
自然,5
十一,9
直段,1
来年,1
取扱,3
ゟ上,1
抔ハ,1
地主,1
下作,1
無御,1
併郡,1
伺上,1
天保,8
御年,5
武澤,1
列座,1
一市,5
五月,4
三度,1
申付,5
一於,1
相用,1
様申,1
一郷,4
米高,1
込指,1
等ニ,3
不作,1
難渋,5
違作,1
理之,1
ヲ御,1
御仁,7
得と,1
別帋,1
仰出,6
飯料,3
仕飯,1
飯物,1
貯出,1
大数,1
之場,1
相凌,1
時節,2
聞召,2
精々,3
相撲,1
無之,7
一体,1
一家,2
人々,3
融通,1
取計,1
任せ,1
主人,2
心ヲ,1
但処,1
農事,2
得可,1
一非,2
至ニ,1
